ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-12-01 14:54:51,90.76,92.68,46.55,46.13,100,1.92
2025-12-01 14:55:51,90.76,92.96,46.55,46.41,100,2.2
2025-12-01 14:56:51,90.76,92.64,46.55,46.09,100,1.88
2025-12-01 14:57:51,90.76,92.76,46.55,46.21,100,2.0
2025-12-01 14:58:51,90.76,92.84,46.55,46.29,100,2.08
2025-12-01 14:59:51,90.76,92.76,46.55,46.21,100,2.0
2025-12-01 15:00:51,90.76,91.08,46.55,44.53,100,0.32
2025-12-01 15:01:52,90.76,91.32,46.55,44.77,100,0.56
2025-12-01 15:02:52,90.76,90.96,46.55,44.41,100,0.2
2025-12-01 15:03:52,90.76,90.08,46.55,43.53,100,-0.68
2025-12-01 15:04:52,90.76,90.24,46.55,43.69,100,-0.52
2025-12-01 15:05:52,90.76,90.64,46.55,44.09,100,-0.12
2025-12-01 15:06:52,90.76,90.44,46.55,43.89,100,-0.32
2025-12-01 15:07:52,90.76,90.04,46.55,43.49,100,-0.72
2025-12-01 15:08:52,90.76,90.24,46.55,43.69,100,-0.52
2025-12-01 15:09:52,90.76,90.36,46.55,43.81,100,-0.4
2025-12-01 15:10:52,90.76,90.92,46.55,44.37,100,0.16
2025-12-01 15:11:52,90.76,91.76,46.55,45.21,100,1.0
2025-12-01 15:12:52,90.76,91.44,46.55,44.89,100,0.68
2025-12-01 15:13:52,90.76,91.76,46.55,45.21,100,1.0
2025-12-01 15:14:52,90.76,92.32,46.55,45.77,100,1.56
2025-12-01 15:15:52,90.76,91.72,46.55,45.17,100,0.96
2025-12-01 15:16:52,90.76,91.48,46.55,44.93,100,0.72
2025-12-01 15:17:52,90.76,92.04,46.55,45.49,100,1.28
2025-12-01 15:18:52,90.76,91.8,46.55,45.25,100,1.04
2025-12-01 15:19:52,90.76,92.0,46.55,45.45,100,1.24
2025-12-01 15:20:52,90.76,92.08,46.55,45.53,100,1.32
2025-12-01 15:21:52,90.76,91.52,46.55,44.97,100,0.76
2025-12-01 15:22:52,90.76,90.68,46.55,44.13,100,-0.08
2025-12-01 15:23:52,90.76,91.08,46.55,44.53,100,0.32
2025-12-01 15:24:52,90.76,91.04,46.55,44.49,100,0.28
2025-12-01 15:25:52,90.76,91.24,46.55,44.69,100,0.48
2025-12-01 15:26:52,90.76,92.12,46.55,45.57,100,1.3599999999999999
2025-12-01 15:27:52,90.76,92.88,46.55,46.33,100,2.12
2025-12-01 15:28:52,90.76,92.52,46.55,45.97,100,1.76
2025-12-01 15:29:52,90.76,92.24,46.55,45.69,100,1.48
2025-12-01 15:30:52,90.76,92.88,46.55,46.33,100,2.12
2025-12-01 15:31:52,90.76,92.6,46.55,46.05,100,1.8399999999999999
2025-12-01 15:32:52,90.76,93.44,46.55,46.89,100,2.68
2025-12-01 15:33:52,90.76,92.96,46.55,46.41,100,2.2
2025-12-01 15:34:52,90.76,94.12,46.55,47.57,100,3.36
2025-12-01 15:35:52,90.76,93.4,46.55,46.85,100,2.64
2025-12-01 15:36:53,90.76,93.16,46.55,46.61,100,2.4
2025-12-01 15:37:53,90.76,94.2,46.55,47.65,100,3.44
2025-12-01 15:38:53,90.76,94.56,46.55,48.01,100,3.8
2025-12-01 15:39:53,95.08,95.08,0.0,95.08,100,0.0
2025-12-01 15:40:53,95.08,95.44,46.5,48.94,100,0.36
2025-12-01 15:41:53,95.08,95.32,46.5,48.82,100,0.24
2025-12-01 15:42:53,95.08,95.08,46.5,48.58,100,0.0
2025-12-01 15:43:53,95.08,94.92,46.5,48.42,100,-0.16
2025-12-01 15:44:53,95.08,94.16,46.5,47.66,100,-0.92
2025-12-01 15:45:53,95.08,94.28,46.5,47.78,100,-0.8
2025-12-01 15:46:53,95.08,94.04,46.5,47.54,100,-1.04
2025-12-01 15:47:53,95.08,93.76,46.5,47.26,100,-1.32
